设备大类,device_id,仪器分类路径
化学气相沉积设备,cvd_system,器件制备设备 > 蒸镀与表面沉积设备 > 化学气相沉积设备
深低温冰箱,deep_low_temp_freezer,加热、制冷及空气净化与调节设备 > 冰箱及类似设备 > 深低温冰箱
分散机,disperser,样品处理仪器与设备 > 混合与分散设备 > 分散机
蒸馏水设备,distilled_water_system,样品处理仪器与设备 > 纯化设备 > 蒸馏水设备
蒸馏器,distiller,样品处理仪器与设备 > 浓缩设备 > 蒸馏器
干体温度校正炉,dry_block_temp_calibrator,加热、制冷及空气净化与调节设备 > 固体浴 > 干体温度校正炉
干冰清洗机,dry_ice_cleaner,样品处理仪器与设备 > 清洗机 > 干冰清洗机
电热消解仪,electric_digester,样品处理仪器与设备 > 消解仪 > 电热消解仪
电热干燥箱,electric_drying_oven,加热、制冷及空气净化与调节设备 > 恒温箱及类似设备 > 高温箱 > 电热干燥箱
电烤箱,electric_oven,加热、制冷及空气净化与调节设备 > 恒温箱及类似设备 > 高温箱 > 电烤箱
电化学反应器,electrochemical_reactor,合成制备仪器与设备 > 反应器 > 电化学反应器
电子束刻蚀系统,electron_beam_etching_system,样品处理仪器与设备 > 表面处理设备 > 电子束刻蚀系统
电泳仪,electrophoresis_device,样品处理仪器与设备 > 分离设备 > 电泳仪
蒸镀仪,evaporation_coater,器件制备设备 > 蒸镀与表面沉积设备 > 蒸镀仪
过滤器,filter,样品处理仪器与设备 > 分离设备 > 过滤器
固定床反应器,fixed_bed_reactor,合成制备仪器与设备 > 反应器 > 固定床反应器
流化床反应器,fluidized_bed_reactor,合成制备仪器与设备 > 反应器 > 流化床反应器
食品柜,food_refrigerator,加热、制冷及空气净化与调节设备 > 冰箱及类似设备 > 食品柜
电热鼓风干燥箱,forced_air_drying_oven,加热、制冷及空气净化与调节设备 > 恒温箱及类似设备 > 高温箱 > 电热鼓风干燥箱
冷冻干燥机,freeze_dryer,样品处理仪器与设备 > 分离设备 > 冷冻干燥机
冷冻箱,freezer,加热、制冷及空气净化与调节设备 > 冰箱及类似设备 > 冷冻箱
冷冻冷藏箱,fridge_freezer,加热、制冷及空气净化与调节设备 > 冰箱及类似设备 > 冷冻冷藏箱
气体保护干燥箱,gas_protection_drying_oven,加热、制冷及空气净化与调节设备 > 恒温箱及类似设备 > 高温箱 > 气体保护干燥箱
气体净化机,gas_purifier,样品处理仪器与设备 > 纯化设备 > 气体净化机
凝胶色谱净化系统,gel_chromatography_cleanup_system,样品处理仪器与设备 > 纯化设备 > 凝胶色谱净化系统
凝胶渗透净化系统,gpc_cleanup_system,样品处理仪器与设备 > 纯化设备 > 凝胶渗透净化系统
研磨机,grinder,样品处理仪器与设备 > 表面处理设备 > 研磨机
磨抛机,grinding_polishing_machine,样品处理仪器与设备 > 样品制备设备 > 磨抛机
高频感应炉,high_freq_induction_furnace,加热、制冷及空气净化与调节设备 > 恒温箱及类似设备 > 高温炉 > 高频感应炉
高低温金属浴,high_low_temp_metal_bath,加热、制冷及空气净化与调节设备 > 固体浴 > 高低温金属浴
高低温恒温槽,high_low_temp_thermostatic_bath,加热、制冷及空气净化与调节设备 > 恒温槽 > 高低温恒温槽
高压反应器,high_pressure_reactor,合成制备仪器与设备 > 反应器 > 高压反应器
高温金属浴,high_temp_metal_bath,加热、制冷及空气净化与调节设备 > 固体浴 > 高温金属浴
高温恒温槽,high_temp_thermostatic_bath,加热、制冷及空气净化与调节设备 > 恒温槽 > 高温恒温槽
均质器,homogenizer,样品处理仪器与设备 > 混合与分散设备 > 均质器
一体化配粉配液站,integrated_powder_liquid_station,合成制备仪器与设备 > 液体分配设备 > 一体化配粉配液站
激光清洗机,laser_cleaner,样品处理仪器与设备 > 清洗机 > 激光清洗机
移液工作站,liquid_handling_workstation,合成制备仪器与设备 > 液体分配设备 > 移液工作站
低温冰箱,low_temp_freezer,加热、制冷及空气净化与调节设备 > 冰箱及类似设备 > 低温冰箱
低温恒温槽,low_temp_thermostatic_bath,加热、制冷及空气净化与调节设备 > 恒温槽 > 低温恒温槽
机械搅拌反应釜,mechanical_stirred_reactor,合成制备仪器与设备 > 反应器 > 机械搅拌反应釜
微通道反应器,microchannel_reactor,合成制备仪器与设备 > 反应器 > 微通道反应器
切片机,microtome,样品处理仪器与设备 > 样品制备设备 > 切片机
微波消解仪,microwave_digester,样品处理仪器与设备 > 消解仪 > 微波消解仪
微波萃取设备,microwave_extractor,样品处理仪器与设备 > 提取设备 > 微波萃取设备
微波炉,microwave_oven,加热、制冷及空气净化与调节设备 > 恒温箱及类似设备 > 高温箱 > 微波炉
微波合成反应仪,microwave_synthesis_reactor,合成制备仪器与设备 > 反应器 > 微波合成反应仪
模具电池组装工站,mold_cell_assembly_station,器件制备设备 > 电池组装设备 > 模具电池组装工站
镶嵌机,mounting_press,样品处理仪器与设备 > 样品制备设备 > 镶嵌机
多通阀,multiway_valve,合成制备仪器与设备 > 实验阀与气路设备 > 多通阀
氮吹仪,nitrogen_evaporator,样品处理仪器与设备 > 浓缩设备 > 氮吹仪
顶置失重固体投料模块,overhead_loss_in_weight_feeder,合成制备仪器与设备 > 固体分配设备 > 顶置失重固体投料模块
机械搅拌器,overhead_stirrer,样品处理仪器与设备 > 混合与分散设备 > 机械搅拌器
臭氧消毒机,ozone_sterilizer,样品处理仪器与设备 > 消毒机 > 臭氧消毒机
并行反应仪,parallel_reactor,合成制备仪器与设备 > 反应器 > 并行反应仪
蠕动泵,peristaltic_pump,合成制备仪器与设备 > 实验泵 > 蠕动泵
药品柜,pharmacy_refrigerator,加热、制冷及空气净化与调节设备 > 冰箱及类似设备 > 药品柜
光化学反应器,photochemical_reactor,合成制备仪器与设备 > 反应器 > 光化学反应器
移液器,pipette,合成制备仪器与设备 > 液体分配设备 > 移液器
等离子体清洗机,plasma_cleaner,样品处理仪器与设备 > 清洗机 > 等离子体清洗机
等离子体表面处理机,plasma_surface_treater,样品处理仪器与设备 > 样品制备设备 > 等离子体表面处理机
撕膜仪,plate_peeler,合成制备仪器与设备 > 液体分配设备 > 撕膜仪
封膜仪,plate_sealer,合成制备仪器与设备 > 液体分配设备 > 封膜仪
柱塞泵,plunger_pump,合成制备仪器与设备 > 实验泵 > 柱塞泵
抛光机,polishing_machine,样品处理仪器与设备 > 样品制备设备 > 抛光机
软包电池组装工站,pouch_cell_assembly_station,器件制备设备 > 电池组装设备 > 软包电池组装工站
制备色谱仪,preparative_chromatograph,样品处理仪器与设备 > 纯化设备 > 制备色谱仪
打粉机,pulverizer,样品处理仪器与设备 > 粉碎设备 > 打粉机
纯水设备,pure_water_system,样品处理仪器与设备 > 纯化设备 > 纯水设备
反应釜,reactor_kettle,合成制备仪器与设备 > 反应器 > 反应釜
低温或冷冻离心机,refrigerated_centrifuge,样品处理仪器与设备 > 分离设备 > 低温/冷冻离心机
冷藏箱,refrigerator,加热、制冷及空气净化与调节设备 > 冰箱及类似设备 > 冷藏箱
旋转蒸发器,rotary_evaporator,样品处理仪器与设备 > 浓缩设备 > 旋转蒸发器
熔样机,sample_fusion_machine,样品处理仪器与设备 > 样品制备设备 > 熔样机
磨样机,sample_grinder,样品处理仪器与设备 > 样品制备设备 > 磨样机
砂浴,sand_bath,加热、制冷及空气净化与调节设备 > 固体浴 > 砂浴
振荡器（非恒温）,shaker,样品处理仪器与设备 > 混合与分散设备 > 振荡器（非恒温）
振荡金属浴,shaking_metal_bath,加热、制冷及空气净化与调节设备 > 固体浴 > 振荡金属浴
振荡恒温槽,shaking_thermostatic_bath,加热、制冷及空气净化与调节设备 > 恒温槽 > 振荡恒温槽
电磁开关阀,solenoid_on_off_valve,合成制备仪器与设备 > 实验阀与气路设备 > 电磁开关阀
电磁三通阀,solenoid_three_way_valve,合成制备仪器与设备 > 实验阀与气路设备 > 电磁三通阀
固相萃取设备,solid_phase_extractor,样品处理仪器与设备 > 提取设备 > 固相萃取设备
固体称量工作站,solid_weighing_station,合成制备仪器与设备 > 固体分配设备 > 固体称量工作站
抽提萃取设备,solvent_extractor,样品处理仪器与设备 > 提取设备 > 抽提萃取设备
索氏提取仪,soxhlet_extractor,样品处理仪器与设备 > 提取设备 > 索氏提取仪
均胶机,spin_coater,样品处理仪器与设备 > 样品制备设备 > 匀胶机
喷雾干燥机,spray_dryer,样品处理仪器与设备 > 分离设备 > 喷雾干燥机
喷雾沉淀装置,spray_precipitation_unit,样品处理仪器与设备 > 分离设备 > 喷雾沉淀装置
喷淋式清洗机,spray_washer,样品处理仪器与设备 > 清洗机 > 喷淋式清洗机
蒸汽清洗机,steam_cleaner,样品处理仪器与设备 > 清洗机 > 蒸汽清洗机
蒸箱,steam_oven,加热、制冷及空气净化与调节设备 > 恒温箱及类似设备 > 高温箱 > 蒸箱
超临界萃取设备,supercritical_extractor,样品处理仪器与设备 > 提取设备 > 超临界萃取设备
合成反应仪,synthesis_reactor,合成制备仪器与设备 > 反应器 > 合成反应仪
注射泵,syringe_pump,合成制备仪器与设备 > 实验泵 > 注射泵
压片机,tablet_press,样品处理仪器与设备 > 样品制备设备 > 压片机
温度检定恒温槽,temp_verification_thermostatic_bath,加热、制冷及空气净化与调节设备 > 恒温槽 > 温度检定恒温槽
控温磁力搅拌器,temperature_controlled_magnetic_stirrer,样品处理仪器与设备 > 混合与分散设备 > 控温磁力搅拌器
热混匀仪,thermomixer,样品处理仪器与设备 > 混合与分散设备 > 热混匀仪
薄膜电池组装工站,thin_film_cell_assembly_station,器件制备设备 > 电池组装设备 > 薄膜电池组装工站
组织破碎机,tissue_disruptor,样品处理仪器与设备 > 粉碎设备 > 组织破碎机
组织研磨仪,tissue_grinder,样品处理仪器与设备 > 表面处理设备 > 组织研磨仪
塔式反应器,tower_reactor,合成制备仪器与设备 > 反应器 > 塔式反应器
透明视窗恒温槽,transparent_window_thermostatic_bath,加热、制冷及空气净化与调节设备 > 恒温槽 > 透明视窗恒温槽
管式炉,tube_furnace,加热、制冷及空气净化与调节设备 > 恒温箱及类似设备 > 高温炉 > 管式炉
管式反应器,tubular_reactor,合成制备仪器与设备 > 反应器 > 管式反应器
超低温冰箱,ultra_low_temp_freezer,加热、制冷及空气净化与调节设备 > 冰箱及类似设备 > 超低温冰箱
超声波清洗机,ultrasonic_cleaner,样品处理仪器与设备 > 清洗机 > 超声波清洗机
超声破碎仪,ultrasonic_disruptor,样品处理仪器与设备 > 粉碎设备 > 超声破碎仪
超声波萃取设备,ultrasonic_extractor,样品处理仪器与设备 > 提取设备 > 超声波萃取设备
紫外消毒机,uv_sterilizer,样品处理仪器与设备 > 消毒机 > 紫外消毒机
疫苗柜,vaccine_refrigerator,加热、制冷及空气净化与调节设备 > 冰箱及类似设备 > 疫苗柜
真空吸液系统,vacuum_aspiration_system,合成制备仪器与设备 > 液体分配设备 > 真空吸液系统
真空离心浓缩仪,vacuum_centrifugal_concentrator,样品处理仪器与设备 > 浓缩设备 > 真空离心浓缩仪
真空干燥箱,vacuum_drying_oven,加热、制冷及空气净化与调节设备 > 恒温箱及类似设备 > 高温箱 > 真空干燥箱
真空泵,vacuum_pump,合成制备仪器与设备 > 实验泵 > 真空泵
振动固体加料模块,vibratory_solid_feeder,合成制备仪器与设备 > 固体分配设备 > 振动固体加料模块
涡旋混匀仪,vortex_mixer,样品处理仪器与设备 > 混合与分散设备 > 涡旋混匀仪
